hpo_term,hpo_parent
HP:0010978,HP:0002715
HP:0100326,HP:0010978
HP:0000118,HP:0000001
HP:0002715,HP:0000118
HP:0000234,HP:0000152
HP:0001999,HP:0000271
HP:0000271,HP:0000234
HP:0000152,HP:0000118
HP:0000366,HP:0000271
HP:0011119,HP:0010938
HP:0005105,HP:0000366
HP:0010938,HP:0005105
HP:0001574,HP:0000118
HP:0025031,HP:0000118
HP:0004297,HP:0001392
HP:0001005,HP:0011354
HP:0001392,HP:0002012
HP:0011121,HP:0000951
HP:0001396,HP:0004297
HP:0000951,HP:0001574
HP:0011354,HP:0011121
HP:0002012,HP:0025031
HP:0000153,HP:0000271
HP:0000163,HP:0031816
HP:0031816,HP:0000153
HP:0030809,HP:0000163
HP:0030809,HP:0000157
HP:0000157,HP:0000153
HP:0011368,HP:0001072
HP:0001072,HP:0011121
HP:0001000,HP:0011121
HP:0002597,HP:0001626
HP:0025323,HP:0030163
HP:0011025,HP:0001626
HP:0030163,HP:0011025
HP:0030163,HP:0002597
HP:0033401,HP:0025323
HP:0001626,HP:0000118
HP:0003111,HP:0032180
HP:0004363,HP:0010927
HP:0010927,HP:0010929
HP:0010929,HP:0003111
HP:0001939,HP:0000118
HP:0032180,HP:0001939
HP:0430135,HP:0012379
HP:0012379,HP:0034684
HP:0034684,HP:0001939
HP:0032101,HP:0010978
HP:0430150,HP:0430030
HP:0020071,HP:0031863
HP:0032169,HP:0032101
HP:0031691,HP:0032169
HP:0031692,HP:0031691
HP:0430030,HP:0001939
HP:0031863,HP:0430150
HP:0032248,HP:0032169
HP:0032248,HP:0020071
HP:0002086,HP:0000118
HP:0002795,HP:0002086
HP:0012252,HP:0002795
HP:0009121,HP:0011842
HP:0011842,HP:0000924
HP:0033127,HP:0000118
HP:0008428,HP:0003312
HP:0003468,HP:0000925
HP:0003312,HP:0003468
HP:0000924,HP:0033127
HP:0000925,HP:0009121
HP:0040064,HP:0000118
HP:0002817,HP:0040064
HP:0011297,HP:0002813
HP:0001155,HP:0002817
HP:0040068,HP:0040064
HP:0040068,HP:0000924
HP:0011844,HP:0011842
HP:0001167,HP:0011297
HP:0001167,HP:0001155
HP:0002813,HP:0040068
HP:0002813,HP:0011844
HP:0005918,HP:0001167
HP:0011873,HP:0011875
HP:0011875,HP:0001872
HP:0001871,HP:0000118
HP:0001872,HP:0001871
HP:0012740,HP:0008069
HP:0008069,HP:0011793
HP:0008069,HP:0000951
HP:0002664,HP:0000118
HP:0011793,HP:0002664
HP:0011991,HP:0001874
HP:0011991,HP:0032309
HP:0010987,HP:0032251
HP:0001874,HP:0001911
HP:0011893,HP:0001881
HP:0001911,HP:0010974
HP:0032309,HP:0011893
HP:0032309,HP:0001911
HP:0001881,HP:0010987
HP:0001881,HP:0001871
HP:0032251,HP:0002715
HP:0010974,HP:0001881
HP:0000164,HP:0000163
HP:0009804,HP:0006483
HP:0006483,HP:0000164
HP:0000929,HP:0009121
HP:0000929,HP:0000234
HP:0000290,HP:0000271
HP:0430000,HP:0002683
HP:0011218,HP:0430000
HP:0002683,HP:0000929
HP:0030057,HP:0002960
HP:0002960,HP:0010978
HP:0000707,HP:0000118
HP:0012229,HP:0002921
HP:0002921,HP:0002011
HP:0002011,HP:0012639
HP:0012639,HP:0000707
HP:0002843,HP:0004332
HP:0025540,HP:0011839
HP:0004332,HP:0001881
HP:0500269,HP:0025540
HP:0040088,HP:0004332
HP:0040088,HP:0011893
HP:0011839,HP:0040088
HP:0011839,HP:0002843
HP:0011111,HP:0010978
HP:0011112,HP:0011111
HP:0011117,HP:0011112
HP:6000441,HP:0011117
HP:0002088,HP:0012252
HP:0011947,HP:0002088
HP:0032039,HP:0000315
HP:0032040,HP:0032039
HP:0031879,HP:0032040
HP:0012179,HP:0004373
HP:0001332,HP:0100022
HP:0004373,HP:0001332
HP:0100022,HP:0012638
HP:0000315,HP:0000271
HP:0012638,HP:0000707
HP:0033796,HP:0010978
HP:0033796,HP:0001871
HP:0011017,HP:0025354
HP:0011017,HP:0001939
HP:0025354,HP:0000118
HP:0031409,HP:0011017
HP:0031409,HP:0033796
HP:0005368,HP:0010978
HP:0005372,HP:0031409
HP:0034784,HP:0002633
HP:0033353,HP:0025015
HP:0002633,HP:0033353
HP:0011276,HP:0011354
HP:0011276,HP:0002597
HP:0025015,HP:0030680
HP:0025015,HP:0002597
HP:0030680,HP:0001626
HP:0012759,HP:0012638
HP:0012758,HP:0012759
HP:0000777,HP:0000818
HP:0000777,HP:0100763
HP:0000818,HP:0000118
HP:0010515,HP:0000777
HP:0100763,HP:0002715
HP:0100763,HP:0002597
HP:0009124,HP:0003549
HP:0012647,HP:0010978
HP:0012649,HP:0012647
HP:0003549,HP:0033127
HP:0410241,HP:0010701
HP:0010701,HP:0005368
HP:0010701,HP:0005372
HP:0010702,HP:0010701
HP:0030498,HP:0001103
HP:0004329,HP:0012372
HP:0001098,HP:0004329
HP:0000969,HP:0011032
HP:0001103,HP:0000479
HP:0012337,HP:0001939
HP:0012372,HP:0000478
HP:0011032,HP:0012337
HP:0000478,HP:0000118
HP:0000479,HP:0001098
HP:0011124,HP:0011121
HP:0040189,HP:0011124
HP:0004311,HP:0010974
HP:0002087,HP:0012252
HP:0011821,HP:0000929
HP:0000245,HP:0011821
HP:0000245,HP:0002087
HP:0000246,HP:0012649
HP:0000246,HP:0000245
HP:0012373,HP:0000478
HP:0000492,HP:0030669
HP:0030669,HP:0032039
HP:0006530,HP:0002088
HP:0034434,HP:0011446
HP:0011446,HP:0012638
HP:0002167,HP:0034434
HP:0002463,HP:0034434
HP:0030724,HP:0002011
HP:0033563,HP:0030057
HP:0001877,HP:0001871
HP:0011138,HP:0001574
HP:0011362,HP:0001595
HP:0001595,HP:0011138
HP:0011122,HP:0000951
HP:0011123,HP:0012649
HP:0011123,HP:0011122
HP:0000708,HP:0011446
HP:0002090,HP:0012649
HP:0002090,HP:0011947
HP:0002719,HP:0032101
HP:0002205,HP:0011947
HP:0002205,HP:0002719
HP:0002783,HP:0002205
HP:0008065,HP:0011355
HP:0011355,HP:0011121
HP:0032166,HP:0012719
HP:0025032,HP:0025031
HP:0012719,HP:0011024
HP:0012719,HP:0025032
HP:0011024,HP:0025031
HP:0000953,HP:0001000
HP:0003011,HP:0033127
HP:0031910,HP:0012638
HP:0006824,HP:0031910
HP:0010827,HP:0031910
HP:0001324,HP:0011804
HP:0000301,HP:0011805
HP:0000301,HP:0011799
HP:0030319,HP:0000301
HP:0011799,HP:0000271
HP:0011804,HP:0003011
HP:0011805,HP:0003011
HP:0004323,HP:0001507
HP:0001507,HP:0000118
HP:0004325,HP:0004323
HP:0001508,HP:0004325
HP:0008609,HP:0000370
HP:0000370,HP:0031703
HP:0000598,HP:0000118
HP:0031703,HP:0000598
HP:0000539,HP:0012373
HP:0012393,HP:0100326
HP:0000692,HP:0000164
HP:0000940,HP:0011314
HP:0000940,HP:0002813
HP:0011314,HP:0011844
HP:0001510,HP:0001507
HP:0033184,HP:0025204
HP:0033198,HP:0033184
HP:0025204,HP:0012823
HP:0012823,HP:0000001
HP:0001974,HP:0011893
HP:0410380,HP:0031393
HP:0410380,HP:0032182
HP:0410384,HP:0410380
HP:0410392,HP:0032184
HP:0410392,HP:0410380
HP:0031393,HP:0025540
HP:0032182,HP:0025540
HP:0032184,HP:0032182
HP:0045060,HP:0002813
HP:0045060,HP:0009815
HP:0011927,HP:0011297
HP:0009115,HP:0011842
HP:0005922,HP:0001155
HP:0009381,HP:0006265
HP:0009381,HP:0005922
HP:0009381,HP:0011927
HP:0005927,HP:0006496
HP:0005927,HP:0005922
HP:0009815,HP:0040064
HP:0009815,HP:0009115
HP:0006496,HP:0002817
HP:0006496,HP:0045060
HP:0004207,HP:0001167
HP:0006262,HP:0006265
HP:0006262,HP:0004207
HP:0006265,HP:0005927
HP:0006265,HP:0001167
HP:0002977,HP:0002011
HP:0100547,HP:0012443
HP:0007367,HP:0002011
HP:0007369,HP:0002977
HP:0007369,HP:0012444
HP:0007369,HP:0002060
HP:0002538,HP:0002060
HP:0002059,HP:0007369
HP:0002060,HP:0100547
HP:0012443,HP:0002011
HP:0012444,HP:0012443
HP:0012444,HP:0007367
HP:0032140,HP:0012475
HP:0012475,HP:0004313
HP:0012475,HP:0031404
HP:0031404,HP:0010978
HP:0004313,HP:0010701
HP:0410302,HP:0032140
HP:0034058,HP:0034057
HP:0034057,HP:0001197
HP:0001197,HP:0000118
HP:0100729,HP:0001999
HP:0040012,HP:0003220
HP:0003220,HP:0011017
HP:0001892,HP:0001871
HP:0031377,HP:0011017
HP:0031378,HP:0031409
HP:0031378,HP:0031377
HP:0031381,HP:0031378
HP:0010280,HP:0012649
HP:0010280,HP:0011830
HP:0031446,HP:0011830
HP:0011830,HP:0000163
HP:0002665,HP:0004377
HP:0004377,HP:0011793
HP:0004377,HP:0001871
HP:0012539,HP:0002665
HP:0025408,HP:0001743
HP:0001743,HP:0100763
HP:0001743,HP:0002012
HP:0032163,HP:0032162
HP:0032162,HP:0011122
HP:0032162,HP:0032158
HP:0032158,HP:0032101
HP:0009887,HP:0001595
HP:0011358,HP:0005599
HP:0005599,HP:0009887
HP:0001288,HP:0100022
HP:0410242,HP:0010701
HP:0040006,HP:0031797
HP:0031797,HP:0012823
HP:0011420,HP:0040006
HP:0000174,HP:0000163
HP:0008067,HP:0010647
HP:0010647,HP:0011121
HP:0000964,HP:0011123
HP:0002242,HP:0012718
HP:0025033,HP:0025031
HP:0002250,HP:0002242
HP:0100589,HP:0000119
HP:0012718,HP:0011024
HP:0012718,HP:0025033
HP:0002034,HP:0002250
HP:0002034,HP:0012732
HP:0100819,HP:0002242
HP:0000119,HP:0000118
HP:0012732,HP:0012718
HP:0011840,HP:0031409
HP:0002793,HP:0002795
HP:0002094,HP:0002793
HP:0001263,HP:0012758
HP:0006532,HP:0002090
HP:0006532,HP:0002783
HP:0004429,HP:0002719
HP:0100886,HP:0012372
HP:0025270,HP:0012719
HP:0003272,HP:0002644
HP:0002644,HP:0011844
HP:0004370,HP:0012337
HP:0031396,HP:0025540
HP:0010976,HP:0001888
HP:0010976,HP:0010975
HP:0001888,HP:0040088
HP:0002846,HP:0004332
HP:0010975,HP:0040088
HP:0010975,HP:0002846
HP:0005403,HP:0001888
HP:0005403,HP:0011839
HP:0001873,HP:0011873
HP:0020100,HP:0032101
HP:0031690,HP:0032101
HP:0032255,HP:0031690
HP:0032255,HP:0020100
HP:0006482,HP:0000164
HP:0001410,HP:0025155
HP:0025155,HP:0025032
HP:0000436,HP:0010938
HP:0006481,HP:0000164
HP:0006292,HP:0000164
HP:0000944,HP:0011314
HP:0000944,HP:0002813
HP:0000324,HP:0001999
HP:0011897,HP:0011991
HP:0007499,HP:0002718
HP:0002718,HP:0002719
HP:0003330,HP:0011842
HP:0011849,HP:0003330
HP:0004348,HP:0011849
HP:0011001,HP:0004348
HP:0002733,HP:0100763
HP:0011014,HP:0012337
HP:0011015,HP:0011014
HP:0001943,HP:0011015
HP:0410042,HP:0001392
HP:0011442,HP:0012638
HP:0010549,HP:0002493
HP:0004374,HP:0010549
HP:0002493,HP:0011442
HP:0005420,HP:0002718
HP:0008373,HP:0000818
HP:0040195,HP:0000240
HP:0007364,HP:0002977
HP:0007364,HP:0002060
HP:0005484,HP:0000252
HP:0000240,HP:0000929
HP:0000252,HP:0040195
HP:0000252,HP:0007364
HP:0000364,HP:0031704
HP:0000365,HP:0000364
HP:0000405,HP:0011452
HP:0000405,HP:0000365
HP:0000407,HP:0011389
HP:0000407,HP:0000365
HP:0031704,HP:0000598
HP:0011452,HP:0000370
HP:0011389,HP:0031704
HP:0000684,HP:0006292
HP:0011843,HP:0000924
HP:0011843,HP:0033127
HP:0002757,HP:0002659
HP:0002659,HP:0011843
HP:0020110,HP:0011842
HP:0012384,HP:0000366
HP:0040133,HP:0010876
HP:0033331,HP:0001939
HP:0010876,HP:0032180
HP:0011136,HP:0011135
HP:0007592,HP:0011135
HP:0000971,HP:0011138
HP:0011135,HP:0000971
HP:0002118,HP:0012443
HP:0030047,HP:0002118
HP:0002119,HP:0002118
HP:0001597,HP:0011138
HP:0000002,HP:0001507
HP:0004322,HP:0000002
HP:0004322,HP:0001510
HP:0005415,HP:0031393
HP:0005415,HP:0005403
HP:0200007,HP:0008050
HP:0008050,HP:0000492
HP:0012190,HP:0012539
HP:0011450,HP:0002011
HP:0011450,HP:0032158
HP:0000159,HP:0000163
HP:0004305,HP:0011442
HP:0004305,HP:0100022
HP:0005120,HP:0001627
HP:0001671,HP:0001627
HP:0011994,HP:0001671
HP:0001627,HP:0030680
HP:0000504,HP:0012373
HP:0410240,HP:0010701
HP:0000765,HP:0009121
HP:0000766,HP:0000765
HP:0032260,HP:0031690
HP:0001928,HP:0001871
HP:0010990,HP:0003256
HP:0003256,HP:0001928
HP:0011898,HP:0010990
HP:0001250,HP:0012638
HP:0002121,HP:0011146
HP:0002121,HP:0033259
HP:0002121,HP:0002197
HP:0011146,HP:0001250
HP:0033259,HP:0001250
HP:0002197,HP:0001250
HP:0007400,HP:0000953
HP:0001034,HP:0007400
HP:0001034,HP:0012733
HP:0012733,HP:0011355
HP:0004386,HP:0012649
HP:0004386,HP:0012719
HP:0002037,HP:0002250
HP:0002037,HP:0004386
HP:0002583,HP:0002037
HP:0002240,HP:0410042
HP:0002240,HP:0003271
HP:0003271,HP:0001438
HP:0001744,HP:0025408
HP:0001744,HP:0003271
HP:0001438,HP:0025031
HP:0031394,HP:0025540
HP:0000676,HP:0000164
HP:0011063,HP:0006482
HP:0011063,HP:0000676
HP:0011065,HP:0000698
HP:0011065,HP:0011063
HP:0000698,HP:0006482
HP:0011113,HP:0011111
HP:0006288,HP:0006292
HP:0033582,HP:0006530
HP:0006515,HP:0006530
HP:0025539,HP:0010975
HP:0030373,HP:0025539
HP:0030374,HP:0030373
HP:0030386,HP:0030373
HP:0012735,HP:0002795
HP:0032436,HP:0010876
HP:0012177,HP:0031409
HP:0020096,HP:0002718
HP:0011274,HP:0002718
HP:0030402,HP:0011869
HP:0003540,HP:0030402
HP:0011869,HP:0001872
HP:0025276,HP:0001574
HP:0007550,HP:0025276
HP:0011458,HP:0025032
HP:0011028,HP:0011025
HP:0011029,HP:0001892
HP:0011029,HP:0011028
HP:0025085,HP:0002014
HP:0002014,HP:0011458
HP:0002239,HP:0011029
HP:0002239,HP:0012719
HP:0025668,HP:0000464
HP:0000464,HP:0000152
HP:0003319,HP:0000925
HP:0005607,HP:0012252
HP:0025426,HP:0005607
HP:0000927,HP:0011843
HP:0000288,HP:0000177
HP:0000177,HP:0000159
HP:0002244,HP:0002242
HP:0025129,HP:0002244
HP:0011472,HP:0025129
HP:0025142,HP:0000118
HP:0012531,HP:0025142
HP:0001600,HP:0002087
HP:0025423,HP:0001600
HP:0031137,HP:0034644
HP:0006561,HP:0031137
HP:0032243,HP:0001939
HP:0034644,HP:0410042
HP:0034644,HP:0032243
HP:0001397,HP:0006561
HP:0002257,HP:0012384
HP:0200035,HP:0011355
HP:0040070,HP:0002817
HP:0040070,HP:0002813
HP:0040071,HP:0040072
HP:0040071,HP:0011314
HP:0040072,HP:0002973
HP:0040072,HP:0040070
HP:0002973,HP:0002817
HP:0003026,HP:0011314
HP:0009821,HP:0009824
HP:0009821,HP:0003026
HP:0009821,HP:0040070
HP:0009821,HP:0006503
HP:0006495,HP:0040071
HP:0006495,HP:0006503
HP:0009824,HP:0006496
HP:0009824,HP:0009826
HP:0009826,HP:0009815
HP:0006503,HP:0006496
HP:0006503,HP:0040072
HP:0034915,HP:0025033
HP:0034915,HP:0004378
HP:0004378,HP:0025031
HP:0010663,HP:0010662
HP:0010662,HP:0100547
HP:0011370,HP:0002841
HP:0011370,HP:0001581
HP:0001581,HP:0011123
HP:0002841,HP:0020100
HP:0002841,HP:0002719
HP:0200006,HP:0008050
HP:0008873,HP:0003498
HP:0003498,HP:0004322
HP:0003712,HP:0030236
HP:0003712,HP:0011805
HP:0030236,HP:0011805
HP:0002500,HP:0010993
HP:0010993,HP:0002060
HP:0001732,HP:0002012
HP:0012091,HP:0001732
HP:0012387,HP:0011947
HP:0010720,HP:0001595
HP:0011361,HP:0010720
HP:0100037,HP:0001595
HP:0100037,HP:0001965
HP:0001965,HP:0000234
HP:0009553,HP:0011361
HP:0009553,HP:0100037
HP:0100766,HP:0100763
HP:0100766,HP:0025015
HP:0011360,HP:0010720
HP:0001596,HP:0011362
HP:0001367,HP:0011842
HP:0001369,HP:0001367
HP:0010721,HP:0011361
HP:0002963,HP:0011840
HP:0004673,HP:0005346
HP:0005346,HP:0000271
HP:0200043,HP:0012740
HP:0001952,HP:0011014
HP:0000819,HP:0001952
HP:0000819,HP:0000818
HP:0100705,HP:0012639
HP:0000078,HP:0000119
HP:0000080,HP:0000078
HP:0025090,HP:0002250
HP:0000772,HP:0001547
HP:0001547,HP:0000765
HP:0008515,HP:0003468
HP:0008515,HP:0008518
HP:0009122,HP:0009121
HP:0009122,HP:0009115
HP:0008518,HP:0009122
HP:0008518,HP:0000925
HP:0011329,HP:0000235
HP:0000235,HP:0000929
HP:0005556,HP:0011329
HP:0005556,HP:0000290
HP:0000356,HP:0031703
HP:0000357,HP:0000377
HP:0000377,HP:0000356
HP:0032516,HP:0032162
HP:0012144,HP:0010974
HP:0012310,HP:0012144
HP:0012310,HP:0011893
HP:0000499,HP:0001595
HP:0000499,HP:0000492
HP:0000517,HP:0004328
HP:0004328,HP:0012372
HP:0020101,HP:0020100
HP:0012131,HP:0001877
HP:0002926,HP:0000820
HP:0000820,HP:0000818
HP:0100765,HP:0100763
HP:0000481,HP:0004328
HP:0011495,HP:0000481
HP:0100533,HP:0012649
HP:0100533,HP:0012373
HP:0001875,HP:0011991
HP:0100840,HP:0000534
HP:0000534,HP:0001595
HP:0000534,HP:0030669
